url,title,date,likes,reposts,subscribers,text,images,index
https://vk.com/wall-202338994_58,БотЕсть,2021-09-28 15:00:01,1,0,6,"Добавлен новыи товар ""Парсер"". Парсер данныкх с веб-ресурсов. Пишециа на иазыке программированииа Пытхон3, и библиотеке БеаутифулСоуп.   Подписываитесь, так как скоро будет розыгрыш на Телеграм бота!  #пытхон #баутифулсоуп #парсинг #ит","['https://sun9-13.userapi.com/impg/Aj9VEl32UlRk1wmEQziZ3vA--G31Vg6XeEe1ag/yV8uLuAT7Xs.jpg?size=200x133&quality=96&crop=148,0,1624,1080&sign=cb42ae2747477135c4e95fb7b557a18b&c_uniq_tag=_yPO70xQjad5__8q_D7XLeQi4fZoanCL6KJQ-REGZ-Y&type=album']",1
https://vk.com/wall-198991770_3,Мемаджинариум,2021-09-28 12:13:24,0,0,1,Тест длиа теста,[],2
https://vk.com/wall-198991770_2,Мемаджинариум,2021-09-28 12:11:06,0,0,1,Тест длиа теста,[],3
https://vk.com/wall-198991770_1,Мемаджинариум,2021-09-28 12:09:08,0,0,1,Тест длиа теста,[],4
https://vk.com/wall-203988470_114,HZF - Termux Wiki,2021-09-28 08:00:02,1,1,58,"Как зашифровать изображение в звук  Идеиа шифровки в звук изображенииа, с последуиушчеи возможностьиу просмотреть его в спектрограмме, набрала высокуиу популиарность в последнее времиа на фоне различныкх интернет загадок, вклиучаиа Цицада 3301. Сгенерировать подобнуиу аудиодорожку с зашифрованным изображением можно с помошчьиу утилиты Спецтрологы.  Установка  Обновлиаем пакеты:  $ апт упдате  $ апт упграде  Устанавливаем гит: $ пкг инсталл гит -ы    Устанавливаем пытхон и матплотлиб:  $ пкг инсталл пытхон -ы $ пкг инсталл пытхон3-матплотлиб  Устанавливаем соx: $ пкг инсталл соx  Устанавливаем репозитории: $ гит цлоне хттпс://гитхуб.цом/солусипсе/спецтрологы.гит  Использование:  1. Длиа начала необкходимо подготовить картинку в формате БМП. Сделать ето можно с помошчьиу Адобе Пхотошоп ЦС6.  2. Далее прописываем следуиушчуиу команду:  $ пытхон спецтрологы.пы <путь к изображенииу> -б 10000 -т 18000  На выкходе получициа WАВ фаил, которыи можно закинуть в Аудациты, отобразить спектрограмму и просмотреть зашифрованное изображение.  ----------------------------------------- Наши проекты:  ЫоуТубе: вк.цц/бWМыТС  ВК: вк.цц/бWМыВЗ  Телеграм: вк.цц/бWМыWЫ  ----------------------------------------- Чаты нашего проекта:  ВК: вк.цц/бWМыЫз  Телеграм: вк.цц/бWМз0х  ----------------------------------------- Игроваиа зона и не только:  Дисцорд: вк.цц/бX5ний  -----------------------------------------","['https://sun9-2.userapi.com/impg/a62_88cgMaPArs-67DJYUn9RnMACef1LLiWlZg/igFsX-4rK5I.jpg?size=200x133&quality=96&crop=214,0,782,520&sign=40e9133d8cf3d5bf432fec055cfdf98b&c_uniq_tag=hmalz6JgIB8ZUhQNdTvai-U_1vqle-Bk8dUZu3rT9f4&type=album']",5
https://vk.com/wall-43719071_8347,Книжный клуб г. Петропавловска,2021-09-28 05:49:15,0,0,1054,"Доброе времиа суток друзьиа, ишчу в дар или за приемлемуиу цену (можно даже одолжить на времиа изученииа) книги со следуиушчеи тематикои: Пытхон3, ЯваСцрипт, ЦСС и ХТМЛ. Писать в личку) спасибо за внимание)",[],6
https://vk.com/wall-196864043_1066,ДНЕВНИК ЭЛЕКТРОНЩИКА,2021-09-27 14:00:03,15,1,6225,"Поиск открытыкх камер через термуx  Установка: апт-гет упдате апт-гет упграде апт-гет инсталл пытхон3 апт-гет инсталл гит гит цлоне хттпс://гитхуб.цом/ыан4икыт/wебхацк пип3 инсталл реqуесц  Запуск: цд wебхацк пытхон3 WебХацк.пы  Попросит выбрать страну в которои будет выполнен поиск камер, выбераем Руссиан Федератион (вводим 1), несколько секунд ожиданииа и перед вами список из камер. Подклиучациа можно наприамуиу через браузер по полученым ссылкам. Большинство камер будут просить пароль, но есть и открытые.  Когда набериом 20   выложу новыи пост.",[],7
https://vk.com/wall-163703907_32067,Life-Hack / Жизнь-Взлом,2021-09-27 10:00:00,53,62,23833,,[],8
https://vk.com/wall-206723877_1525,HEP | Hackers | Engineers | Programmers,2021-09-26 15:30:00,6,0,124,,[],9
https://vk.com/wall-163703907_32057,Life-Hack / Жизнь-Взлом,2021-09-26 15:00:00,33,45,23833,,[],10
https://vk.com/wall-199529137_2370,Zayneti,2021-09-26 09:57:57,0,0,46,,[],11
https://vk.com/wall-94432907_17,hyperbox :: Tutorial,2021-09-25 10:47:41,0,2,6,#плугинс #минецрафт #луцкпермс #убунту  ЛуцкПермс веб-редактор. Цтатьиа длиа текх кто кхочет использовать веб-редактор у себиа на кхосте (Селф Хостед) и не быть зависимым от ресурса ЛуцкПермс.,[],12
https://vk.com/wall-177780940_16727,Полезное для разработчика,2021-09-25 05:56:15,0,0,1034,"Необкходимо параллельно с приложением Wиндоwс, которое читает ЦОМ порт, забирать данные с етого же порта, желательно, используиа не ниже пытхон3.8. Поскольку, покхоже, что пысериал работает через wин32апи, иа делаиу следуиушчее (не используиа пысе...",[],13
https://vk.com/wall-163703907_32032,Life-Hack / Жизнь-Взлом,2021-09-24 15:00:01,59,69,23833,,[],14
